Province_State,Country_Region,Population
Alberta,Canada,4413146.0
British Columbia,Canada,5110917.0
Manitoba,Canada,1377517.0
New Brunswick,Canada,779993.0
Newfoundland and Labrador,Canada,521365.0
Northwest Territories,Canada,44904.0
Nova Scotia,Canada,977457.0
Nunavut,Canada,38780.0
Ontario,Canada,14711827.0
Prince Edward Island,Canada,158158.0
Quebec,Canada,8537674.0
Saskatchewan,Canada,1181666.0
Yukon,Canada,41078.0
Hong Kong,China,7496988.0
Macau,China,649342.0
Faroe Islands,Denmark,48865.0
Greenland,Denmark,56772.0
Abruzzo,Italy,1311580.0
Basilicata,Italy,562869.0
Calabria,Italy,1947131.0
Campania,Italy,5801692.0
Emilia-Romagna,Italy,4459477.0
Friuli Venezia Giulia,Italy,1215220.0
Lazio,Italy,5879082.0
Liguria,Italy,1550640.0
Lombardia,Italy,10060574.0
Marche,Italy,1525271.0
Molise,Italy,305617.0
P.A. Bolzano,Italy,532318.0
P.A. Trento,Italy,541418.0
Piemonte,Italy,4356406.0
Puglia,Italy,4029053.0
Sardegna,Italy,1639591.0
Sicilia,Italy,4999891.0
Toscana,Italy,3729641.0
Umbria,Italy,882015.0
Valle d'Aosta,Italy,125666.0
Veneto,Italy,4905854.0
Dolnoslaskie,Poland,2901225.0
Kujawsko-pomorskie,Poland,2077775.0
Lodzkie,Poland,2466322.0
Lubelskie,Poland,2117619.0
Lubuskie,Poland,1014548.0
Malopolskie,Poland,3400577.0
Mazowieckie,Poland,5403412.0
Opolskie,Poland,986506.0
Podkarpackie,Poland,2129015.0
Podlaskie,Poland,1181533.0
Pomorskie,Poland,2333523.0
Slaskie,Poland,4533565.0
Swietokrzyskie,Poland,1241546.0
Warminsko-mazurskie,Poland,1428983.0
Wielkopolskie,Poland,3493969.0
Zachodniopomorskie,Poland,1701030.0
Anguilla,United Kingdom,15002.0
Bermuda,United Kingdom,62273.0
Cayman Islands,United Kingdom,65720.0
England,United Kingdom,55977200.0
Falkland Islands (Malvinas),United Kingdom,3483.0
Gibraltar,United Kingdom,33691.0
Isle of Man,United Kingdom,85032.0
Montserrat,United Kingdom,4999.0
Northern Ireland,United Kingdom,1881600.0
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,5661.0
Scotland,United Kingdom,5463300.0
Wales,United Kingdom,3138600.0
